title,company,location,city,salary
Financial Analyst II,Health & Human Services Comm,Austin TX Hyde Park area,Austin,68046.0
THECB - Business Analyst I,TEXAS HIGHER EDUCATION COORDINATING BOARD,Austin TX Downtown area,Austin,66006.0
Senior Research and Data Solutions Analyst,Chaffey College,Rancho Cucamonga CA,Ontario,72000.0
Administrative Research Analyst/FAITHS (UEC),"California State University, San Bernardino",San Bernardino CA California State College San Bernardino area,Ontario,81600.0
Student Accounting & Cashiering Services Admin Analyst,California State University,Pomona CA,Ontario,44862.0
Data Analyst,Praxis,Boston MA Downtown area,Boston,90000.0
COVID-19 DATA COMPLIANCE ANALYST,California State University,Los Angeles CA El Sereno area,Los+Angeles,57810.0
Educational Opportunity Program Data Analyst,California State University,Hybrid remote in Northridge CA,Los+Angeles,67074.0
Prospect Research and Data Analyst,California State University,Hybrid remote in Los Angeles CA,Los+Angeles,70290.0
Prospect Research Analyst,"California State University, Long Beach",Long Beach CA State College Area area,Los+Angeles,61854.0
Finance Analyst,"California State University, Los Angeles",Los Angeles CA El Sereno area,Los+Angeles,61854.0
Research Data Analyst I - JC-328438,Department of Industrial Relations,San Francisco CA Tenderloin area location,San+Francisco,59562.0
Employment Services Analyst,California State University,San Francisco CA,San+Francisco,58704.0
Digital Service Analyst,City of San Rafael,San Rafael CA Downtown area location,San+Francisco,77886.0
DATA ANALYST,University of Washington,Seattle WA University District area,Washington,74844.0
Management Analyst 4 (GN78) - Data Analyst,State of Washington Dept. of Corrections,Tumwater WA locations,Washington,74118.0
Colorado Tax Credit Data Analyst - Americorps VISTA,Colorado Department of Public Health and...,Denver CO Capitol Hill area,Denver,72000.0
DATA ANALYST,University of Washington,Seattle WA University District area locations,Seattle,74844.0
Supervisor (COVID-19 Integrated Health Equity Research Team),Heluna Health,Richmond CA,San+Francisco,72000.0
HEALTH EDUCATOR CONSULTANT,The State of Florida,Sarasota FL South Sarasota area location,Florida,37776.0
RESEARCH AND STATISTICS CONSULTANT,The State of Florida,Tallahassee FL,Florida,43248.0
Certified Mobility Consultant,MobilityWorks and Driverge,Fort Myers FL,Florida,72000.0
HEALTH SERVICES & FACILITIES CONSULTANT,The State of Florida,Tallahassee FL,Florida,72000.0
In Home Sales Consultant - Closet Designer,Closet Factory,Scottsdale AZ North Scottsdale area,Phoenix,108000.0
Sales Consultant,LA Fitness,Scottsdale AZ South Scottsdale area,Phoenix,72000.0
Area Industrial Engineer,Ferguson,Orlando FL,Orlando,80502.0
PUBLIC HEALTH NUTRITION CONSULTANT,The State of Florida,Miami FL,Miami,72000.0
Financial Analyst II/Grants,"City of Miami Beach, FL",Miami Beach FL City Center area,Miami,75402.0
Environmental Planner,San Lorenzo Valley Water District,Boulder Creek CA,San+Jose,79548.0
Customer Service Specialist,California State University,San Jose CA,San+Jose,72000.0
Web Analyst,California State University,San Jose CA,San+Jose,72000.0
Spa Director,Planet Beach Spray and Spa,New Orleans LA Leonidas area,New+Orleans,42000.0
Spa Director,"HOTWORX Franchising, LLC",New Orleans LA,New+Orleans,45000.0
Office Specialist 2,Commission for the Blind,Portland OR Downtown area,Portland,41376.0
Accountant 1,Commission for the Blind,Hybrid remote in Portland OR,Portland,58926.0
Coding Technician,Colorado State University,Remote in Fort Collins CO,Colorado,51558.0
Western Slope Regional Consultant - HP1 - Prevention & Field Services Program,State of Colorado Job Opportunities,Grand Junction CO,Colorado,49032.0
Vocational Rehabilitation Spec,The State of Oklahoma,Carter County OK,Oklahoma,72000.0
Development Consultant - Contract,Mission Capital,Hybrid remote in Austin TX,Austin,72000.0
Data QA/Analysis Epidemiologist,Dept of State Health Services,Austin TX Brentwood area,Austin,70092.0
Management and Project Consultant,Dept of Family & Protectve Svc,Austin TX Brentwood area,Austin,55806.0
IT Sales Consultant,Baxture Technologies,Austin TX Arboretum area,Austin,63000.0
Program Evaluation Consultant,Dept of State Health Services,Austin TX Windsor Hills area,Austin,52314.0
1344-Benefits Counselor,Employees Retirement System of Texas,Austin TX Downtown area,Austin,72000.0
Public Health Follow Up Consultant,Dept of State Health Services,Austin TX Windsor Hills area,Austin,52314.0
Quality Assurance Nutrition Specialist,Health & Human Services Comm,Austin TX,Austin,59832.0
Sr Java Developer - 100% remote in Texas,Health & Human Services Comm,Remote in Austin TX,Austin,83298.0
Medical Record Coder,Health & Human Services Comm,Austin TX North Burnet area,Austin,63990.0
State Agency Psychological Consultant,Health & Human Services Comm,Austin TX Parker Lane area locations,Austin,93408.0
Program Specialist V,Dept of State Health Services,Austin TX Windsor Hills area,Austin,55944.0
Medical Research Specialist,Dept of State Health Services,Remote in Austin TX,Austin,68436.0
Professional Development & DEI Coordinator,Communities In Schools of Central Texas,Austin TX St Edwards area,Austin,72000.0
Administrative Asst IV,Dept of State Health Services,Austin TX Brentwood area,Austin,37746.0
"Buyer, Senior",Foothill-De Anza Community College District,Los Altos Hills CA,Palo+Alto,72000.0
Assistant Engineer (Capital & Development),Cucamonga Valley Water District,Rancho Cucamonga CA,Ontario,100974.0
Licensed Vocational Nurse,Anaheim Union High School District,Anaheim CA Northwest Anaheim area,Ontario,58950.0
"Administrative Support Coordinator (ASC II), Psychology Department","California State University, San Bernardino",San Bernardino CA California State College San Bernardino area,Ontario,46380.0
Administrative Support Coordinator,California State University,San Bernardino CA California State College San Bernardino area,Ontario,46380.0
Information Security Compliance Specialist,California State University,San Bernardino CA California State College San Bernardino area,Ontario,72000.0
Planning Technician,"City of Tustin, CA",Tustin CA,Ontario,67350.0
"Manager of Capital Outlay Administration (Administrator I), Facilities Planning, Design & Construction","California State University, San Bernardino",San Bernardino CA California State College San Bernardino area,Ontario,72498.0
Senior Consultant - Strategy,Plante Moran,Hybrid remote in Southfield MI,Detroit,91500.0
"Learning Environments Support Technician (Information Technology Consultant, Career)",San Diego State University,San Diego CA College West area,San+Diego,97350.0
"Voice Systems Administrator (Information Technology Consultant, Career)",San Diego State University,San Diego CA College West area,San+Diego,97350.0
Counselor,San Diego Community College District,San Diego CA,San+Diego,84972.0
Voice Systems Administrator,California State University,San Diego CA,San+Diego,72000.0
Learning Environments Support Technician,California State University,San Diego CA,San+Diego,72000.0
Sales Consultant,Elite Auto Sales,Wichita KS Hilltop area,Kansas,72000.0
INFORMATION TECHNOLOGY CONSULTANT,California State University,Los Angeles CA El Sereno area,Los+Angeles,90984.0
COLLEGE IT CONSULTANT,California State University,Los Angeles CA El Sereno area,Los+Angeles,90984.0
Information Technology Consultant,"California State University, Los Angeles",Los Angeles CA El Sereno area,Los+Angeles,97350.0
Senior Administrative Analyst,"City of El Segundo, CA",El Segundo CA,Los+Angeles,103422.0
Engineering Technician III,"County of Marin, CA",San Rafael CA location,San+Francisco,90654.0
Information Technology Consultant -,California State University,San Francisco CA,San+Francisco,51810.0
Contracts Specialist (HSC2) – Homebased - Non-Permanent – DOH7037,State of Washington Dept. of Health,Remote in Washington State,Washington,58506.0
Library Assistant,State of Washington Office of the Secretary of...,Tumwater WA,Washington,40266.0
Field Services Equity Consultant (HSC2) DOH7008,State of Washington Dept. of Health,Washington State,Washington,58506.0
RESEARCH CONSULTANT,University of Washington,Seattle WA University District area,Washington,90780.0
Policy Coordinator (HSC4) – DOH6999,State of Washington Dept. of Health,Temporarily Remote in Tumwater WA,Washington,73056.0
Human Resource Consultant Assistant 2,South Puget Sound Community College,Olympia WA,Washington,46956.0
IT Security Consultant,Thurston County,Olympia WA,Washington,95508.0
Travel EP Tech- Electrophysiology Lab Technologist,Focus Staff,Everett WA Northwest Everett area location,Washington,32886.0
Renewal Specialist (HSC 1) DOH7009,State of Washington Dept. of Health,Tumwater WA,Washington,49284.0
DIRECTOR FOR HUMAN RESOURCES & DEI,University of Washington,Seattle WA University District area,Washington,124500.0
Credentialing Lead Worker (HSC 2) DOH7018,State of Washington Dept. of Health,Washington State location,Washington,58506.0
Human Resource Consultant 4 (HRC4),State of Washington Dept. of Corrections,Washington State locations,Washington,71292.0
Credentialing Lead Worker (HSC 2) DOH7018,State of Washington Dept. of Health,Washington State,Washington,58506.0
Human Resource Consultant 4 (HRC4),State of Washington Dept. of Corrections,Washington State,Washington,71292.0
Social Media Analyst,State of Washington Office of the Secretary of...,Olympia WA,Washington,67176.0
RECRUITING COORDINATOR (HUMAN RESOURCE CONSULTANT ASSISTANT 2),University of Washington,Seattle WA University District area location,Seattle,46050.0
Finance Director,TNDP,Nashville TN,Nashville,69000.0
Campaign Manager,Matt for Mayor,Nashville TN,Nashville,78000.0
Data Scientist/Cloud Software Engineer (CSWE) - Clearance Required,Cymertek,Hanover MD location,Baltimore,72000.0
Data Conditioning Systems Engineer (PSE) - TS/SCI with Poly Clearance Required,Cymertek,Annapolis Junction MD,Baltimore,72000.0
Senior (Big Data) Software Engineer - TS/SCI with Poly Clearance Required,Cymertek,Annapolis Junction MD,Baltimore,72000.0
Data Engineer - CDW,California State University,San Jose CA,San+Jose,72000.0
Data Engineer,Miratech,Atlanta GA Midtown area,Atlanta,108000.0
"THECB - Data Analyst IV, Data Engineer",TEXAS HIGHER EDUCATION COORDINATING BOARD,Austin TX Downtown area,Austin,84168.0
Data Scientist,Ntropy Network,Remote in New York NY,New+York,72000.0
Data Scientist,NYC Careers,Manhattan NY Financial District area,New+York,85132.5
Economic Data Scientist,CompStak,New York NY NoHo area,New+York,120000.0
Manager Data Scientist 1,PayPal,Remote in New York NY,New+York,176700.0
Data Scientist,Code Climate,New York NY,New+York,150000.0
Data Scientist,Paramount Networks International,New York NY,New+York,155000.0
Data Scientist I,Disney Media & Entertainment Distribution,New York NY,New+York,122400.0
Data Scientist I,New York Power Authority,White Plains NY,New+York,93250.0
Data Scientist,The New York Times,New York NY,New+York,123250.0
"Data Scientist, Growth",Notion,New York NY,New+York,207500.0
Data Scientist,Munich Re America,New York NY,New+York,107200.0
Data Scientist - Payment Optimization,CVS Health,New York NY,New+York,94350.0
Data Scientist - Associate / Sr. Associate - JPMorgan Chase,"JPMorgan Chase Bank, N.A.",New York NY locations,New+York,137000.0
Data Scientist,FreeWheel,New York NY Clinton area,New+York,142973.5
Data Scientist - Global Decision Science,Amex,New York NY locations,New+York,127500.0
Sustainability Data Analyst,Colgate-Palmolive,New York NY Midtown area,New+York,91140.0
Data Scientist,Saatchi & Saatchi Wellness,New York NY SoHo area,New+York,90000.0
"Data Scientist, Economics",Walmart,Remote in New York NY,New+York,149000.0
2023 Entry Level Associate Data Engineer: Advanced Analytics,IBM,Buffalo NY Lakeview area,New+York,56525.0
Staff Applied Scientist I,Etsy,Brooklyn NY,New+York,213000.0
Senior Data Scientist,the NBA,New York NY Midtown area,New+York,157500.0
"Lead Data Scientist, Fraud and Cyber Products",Mastercard,New York NY Flatiron area,New+York,173000.0
"Data Scientist, Transportation Systems",Via,New York NY,New+York,145000.0
"Data Strategy, Data Scientist – Equity Research","Jefferies & Company, Inc.",New York NY Midtown area,New+York,105000.0
Lead Data Scientist,CVS Health,New York NY locations,New+York,152000.0
Senior Data Scientist,Boxed,New York NY,New+York,167500.0
Senior Data Scientist - B2B Growth Analytics,CVS Health,New York NY locations,New+York,121000.0
Data Scientist,TikTok,New York NY,New+York,110000.0
"Research Scientist for Data Integrity, World Trade Center Health Registry",NYC Careers,Queens NY location,New+York,90803.0
2023 SETUP Technology Full Time Program – Data Scientist - New York,BNY Mellon,New York NY,New+York,77500.0
Senior Data Scientist-Machine Learning Engineer,CVS Health,New York NY locations,New+York,121000.0
Data Scientist,GiveDirectly,Remote in New York NY,New+York,72000.0
Data Analyst,Dow Jones,New York NY Murray Hill area,New+York,100000.0
Head of Data Science,Duolingo,New York NY,New+York,254950.0
Senior Data Scientist,Prizeout,New York NY Flatiron area,New+York,155000.0
Data Scientist II - Product Analytics,Policygenius,New York NY,New+York,120000.0
"City Research Scientist II / Data Analyst, Bureau of Hepatitis, HIV, and STI",NYC Careers,Queens NY,New+York,81167.0
Data Scientist,Millennium Management LLC,New York NY,New+York,72000.0
"Manager, Data Scientist",Annalect,New York NY Williamsburg area,New+York,97500.0
Machine Learning Center of Excellence - Applied AIML Associate (Data Annotation),"JPMorgan Chase Bank, N.A.",New York NY locations,New+York,132125.0
Senior Data Scientist,Medidata Solutions,New York NY Flatiron area,New+York,133875.0
"CCB Data & Analytics - Data Consumption & Product Operations Team - Data Scientist Analyst Expert - New York, Jersey City, and/or Wilmington","JPMorgan Chase Bank, N.A.",New York NY,New+York,171250.0
Senior Data Scientist,Macquarie Group Limited,Philadelphia NY,New+York,150250.0
Senior Data Scientist,Match Group,New York NY,New+York,195000.0
"Customer Analytics - Sr Associate, Data Scientist","JPMorgan Chase Bank, N.A.",New York NY location,New+York,137000.0
Data Scientist,Naka Technologies,New York NY,New+York,150000.0
Data Analyst-Library Science,Moody's,New York NY Chelsea area,New+York,84650.0
Data Scientist (Acquisition),Dow Jones,New York NY Murray Hill area location,New+York,115000.0
Data Scientist - Compliance Consultant,MetLife,Remote in New York NY,New+York,139000.0
Senior Data Scientist,Dassault Systèmes,New York NY,New+York,133875.0
"Director, Data Scientist - Fraud Insights & Cyber Products",Mastercard,Purchase NY,New+York,212500.0
Senior Data Scientist (Remote),New York Life Insurance Co,Remote in New York State location,New+York,120000.0
Lead Data Scientist,Weber Shandwick,New York NY Sutton Place area,New+York,132500.0
Post Doc Researcher - Machine Learning and Reinforcement Learning - Microsoft Research,Microsoft,New York NY,New+York,138450.0
AWS Data Engineer (remote),Cognizant Technology Solutions,Remote in Westchester County NY locations,New+York,135000.0
Principal Data Scientist,CVS Health,New York State location,New+York,192500.0
Sr. Data Analyst,Saks,New York NY Battery Park area,New+York,115000.0
CCB_Data and Analytics - Applied AI Associate,"JPMorgan Chase Bank, N.A.",New York NY,New+York,156625.0
Senior Data Analyst - Supply,StubHub,New York NY Garment District area,New+York,168274.5
"Manager, Data Science",Scholastic,New York NY,New+York,150750.0
Compensation and Data Associate,Pagaya Investments,New York NY,New+York,112500.0
Data Analyst III-Remote,Collaborative Health Systems,Remote in New York NY,New+York,90250.0
Applied Machine Learning Scientist - Data Technologies,Bloomberg,New York NY,New+York,205000.0
"Senior Data Scientist - Risk Model Governance - Evernorth, Work At Home",Cigna,Remote in New York NY,New+York,144300.0
Data Scientist II,Radian,New York NY Gramercy area,New+York,127500.0
Data Science Product Manager,New York Life Insurance Co,Hybrid remote in New York NY,New+York,197500.0
CONSTANCE AND MARTIN SILVER ENDOWED PROFESSORSHIP (OPEN RANK) IN DATA SCIENCE AND PREVENTION,New York University,New York NY Greenwich Village area,New+York,107500.0
Machine Learning User Research Scientist,Exponent,New York NY Midtown area,New+York,117500.0
"Senior Counsel, Privacy and Data Protection",Mastercard,Purchase NY location,New+York,233500.0
Senior Data Scientist - Machine Learning,Policygenius,Remote in New York NY,New+York,151250.0
Data and Analytics Consultant,SEI,New York NY,New+York,165000.0
Machine Learning Engineer,GfK,Hybrid remote in New York NY,New+York,135000.0
Data Scientist - Mount Sinai Health Partners,Mount Sinai,New York NY locations,New+York,132634.5
"Director, Data Science",Major League Baseball,New York NY,New+York,187500.0
Data Analyst-Library Science,ZM Financial Systems,New York NY,New+York,84650.0
Applied AI ML Director,"JPMorgan Chase Bank, N.A.",New York NY,New+York,262500.0
"Director, Data Science and Analytics, Digital Americas",Birkenstock USA,New York NY SoHo area,New+York,160000.0
"Environmental Operations Data Scientist, Bureau of Environmental Surveillance and Policy",NYC Careers,Manhattan NY,New+York,72000.0
"Lead Data Scientist, Strategic Insurance Businesses",New York Life Insurance Co,Hybrid remote in New York State,New+York,165000.0
Sr. Data Analyst,NYU Langone,New York NY Tudor City area,New+York,81967.5
Senior Data Analyst,TRAACKR,New York NY,New+York,107500.0
Statistical Analyst (Remote),Pearson,Remote in Albany NY,New+York,59000.0
Sr Data Analyst (Remote - USA),Fevo,Remote in New York NY,New+York,130000.0
Applied Statistician- Data Technologies,Bloomberg,New York NY,New+York,205000.0
Senior Data Analyst,Dow Jones,New York NY Murray Hill area,New+York,100000.0
"Senior Quantitative Analyst, Data Science",National Grid,Hicksville NY,New+York,134000.0
Senior Data Analyst,Match Group,New York NY,New+York,175000.0
Data Science Analyst/Engineer,NYU Langone,New York NY Tudor City area,New+York,96885.5
"VP, Statistical Modeling and Development Quantitative Analyst",Barclays,New York NY Midtown area,New+York,72000.0
Senior Data Analyst,Criteo,New York NY Gramercy area,New+York,117135.0
Sr. Data Analyst (R283),Sompo International,Purchase NY,New+York,72000.0
VP of Product & Data,"Bertelsmann, Inc.",New York NY Midtown area,New+York,267500.0
"Senior Data Analyst, Subscriber Revenue Technology",The New York Times,New York NY,New+York,105000.0
Sr. Data Analyst,Saks Off 5th,New York NY Midtown area,New+York,101666.5
Senior Applied Scientist - NLP,Kensho,New York NY Financial District area,New+York,212500.0
Senior Data Analyst,Mizuho Americas,New York NY,New+York,155000.0
Director of Data Science,NYC Careers,Brooklyn NY,New+York,117500.0
"Sr. Associate, Data Analyst",New York Life Insurance Co,Hybrid remote in New York NY,New+York,90000.0
"Director, Data Science",HarperCollins Publishers,New York NY Financial District area,New+York,162500.0
"Public Health Statistician, Bureau of Immunization",NYC Careers,Queens NY location,New+York,92745.5
Data Science Analyst III - Digital and Technology Partners - Remote,Mount Sinai,Remote in New York NY locations,New+York,132634.5
IT Data Scientist,JetBlue Airways Corporation,Hybrid remote in Long Island City NY,New+York,138750.0
Sr Data Scientist - Marketing Science,Disney Media & Entertainment Distribution,New York NY location,New+York,178145.0
Senior Data Science Engineer,Medidata Solutions,Remote in New York NY location,New+York,134056.0
Applied AI/Machine Learning - Senior Associate / Vice President / Executive Director,"JPMorgan Chase Bank, N.A.",New York NY locations,New+York,191125.0
Innovation Strategist – Digital and Data Trust,Munich Re America Services,New York NY,New+York,175600.0
Senior Data Scientist - North American Integrated Analytics,Munich Re,New York NY,New+York,149548.5
"Director, Data Science",Intercontinental Exchange,New York NY Turtle Bay area,New+York,238500.0
"Data Analyst, Sr. Associate",New York Life Insurance Co,Hybrid remote in New York NY,New+York,112500.0
"Manager, Data Science",Intercontinental Exchange,New York NY Turtle Bay area,New+York,157500.0
Sr. Data Scientist - Insider Threat Team,Bloomberg,New York NY,New+York,160000.0
Lead Workforce Intelligence Analyst - Data Scientist,Northwell Health,Lake Success NY,New+York,116155.0
Senior Data Analyst,Prizeout,New York NY Flatiron area,New+York,130000.0
"Data Scientist - Data Engineer (Markets Analyst - C13), VP, Global Rates (Hybrid)",Citi,New York NY,New+York,212500.0
"Senior Data Analyst, Conversational Commerce",Walmart,New York NY SoHo area,New+York,150000.0
Backend Engineer V - Determined AI,Hewlett Packard Enterprise,New York NY,New+York,152200.0
"Architect, Data Science, Field CTO Office",Snowflake,New York NY,New+York,175000.0
"Software Engineer ll, Machine Learning",Etsy,Brooklyn NY location,New+York,163000.0
Staff Machine Learning Engineer,Match Group,New York NY,New+York,235000.0
Senior Data Analyst,New York Power Authority,White Plains NY,New+York,104000.0
Machine Learning Engineer,OXMAN,New York NY Financial District area,New+York,154000.0
"IBM Quantum Data Center Engineer ( Ykt Heights or Poughkeepsie, NY)",IBM,Yorktown Heights NY,New+York,122000.0
Machine Learning Analyst,Weill Cornell Medicine,New York NY Upper East Side area,New+York,108400.0
"Senior Data Scientist, Marketing Science",Priceline.com,New York NY Financial District area,New+York,147500.0
"Senior Applied Scientist II, Retrieval Sciences",Etsy,Brooklyn NY location,New+York,194500.0
"Sr. Manager, Customer Data Science",Etsy,Brooklyn NY,New+York,202000.0
Lead Data Scientist,S&P Global,Remote in Albany NY location,New+York,160000.0
Sr. ML Engineer,WarnerMedia,New York NY,New+York,185000.0
Machine Learning Engineer,Saks,New York NY Chelsea area,New+York,141500.0
Architect - Data Engineering,Credera,New York NY location,New+York,179000.0
Head of Data for Digital Product-Executive Director,"JPMorgan Chase Bank, N.A.",New York NY,New+York,205375.0
"Senior Data Analyst, Editorial",New York Post,Hybrid remote in New York NY,New+York,97500.0
"Data Architect, Business Intelligence","The Segal Group, Inc.",Remote in New York NY,New+York,127500.0
Post-Baccalaureate Fellow in Environmental Data Science (Covey),Skidmore College,Saratoga Springs NY,New+York,72000.0
Principal Statistician,Medidata Solutions,Remote in New York NY,New+York,183750.0
"Lead Director, Data Science",CVS Health,New York NY,New+York,192500.0
Senior Data Science Engineer,Dassault Systèmes,Remote in New York NY,New+York,134056.0
Mgr Machine Learning Engineering,WarnerMedia,New York NY,New+York,246000.0
"AI Scientist, Deep Learning",Absci,Remote in New York NY,New+York,165000.0
"Director, Analytics & Data Science (Hybrid)",IIE Organization,Hybrid remote in New York NY,New+York,114776.0
"Senior Data Scientist, Machine Learning - Platform",Rockstar Games New York & New England,Hybrid remote in New York NY,New+York,144600.0
Determined AI - Applied Machine Learning Engineer,Hewlett Packard Enterprise,New York NY,New+York,172700.0
"Director of Data Science and Engineering, RV Travel",Red Ventures,Remote in New York NY,New+York,202500.0
Sr Data Analyst,National CineMedia,New York NY Murray Hill area,New+York,70000.0
Senior Data Scientist,"Endeavor Operating Company, LLC",Remote in New York State,New+York,72000.0
"Director, Strategy & Business Intelligence, Data Science",Major League Soccer,Hybrid remote in New York NY,New+York,140000.0
"Machine Learning Engineer, 340b Team","Berkeley Research Group, LLC",New York NY Midtown area,New+York,135000.0
"Principal Data Platform Architect - Data Science, Field CTO Office",Snowflake,New York NY,New+York,196100.0
Machine Learning Engineer - North American Integrated Analytics Team,Munich Re,New York NY,New+York,151048.5
"Sr. Associate, Machine Learning Engineer",Pfizer,New York NY Tudor City area,New+York,93200.0
"Director, Office of Quality Improvement, Bureau of Vital Statistics",NYC Careers,Manhattan NY,New+York,103386.0
Senior Machine Learning Engineer,StubHub,New York NY Garment District area,New+York,250000.0
"Sr. Manager, Data Science",Mejuri,Hybrid remote in New York NY,New+York,135000.0
Senior Software Engineer - Trading Market Data (Hybrid - Flexible Options),Broadridge,Hybrid remote in New York NY,New+York,190000.0
